feature,skewness,skewness_interpretation,kurtosis,kurtosis_interpretation
Turbidity ,0.8319345853468422,轻度右偏,-0.6317204726832499,低峰态
Chroma,0.5097745790675228,轻度右偏,-0.6781708178016439,低峰态
pH ,0.24636016495729293,近似对称,-1.0236133339754439,低峰态
DO,0.46945240617104395,近似对称,-1.161419487116826,低峰态
electrical conductivity,-0.22489455053830695,近似对称,-0.8389560445034685,低峰态
UV254,0.1413384625460721,近似对称,-1.0087671698206555,低峰态
COD,0.6982657116256361,轻度右偏,-0.666941194902642,低峰态
TOC,0.47879681729560974,近似对称,-0.642424612634422,低峰态
BOD,0.9181891203818124,轻度右偏,-0.6994078373529824,低峰态
nitrate nitrogen,0.42503158697352333,近似对称,-1.1467858003866018,低峰态
ammonia nitrogen,1.1116813971696917,中度右偏,-0.15139286519716544,低峰态
TN,0.3264250443457877,近似对称,-1.289120086312887,低峰态
Nitrogen to phosphorus ratio,0.4549314531635085,近似对称,-1.4619331681136036,低峰态
Organic carbon nitrogen ratio,1.702643921407005,中度右偏,1.9538469418042537,中峰态
Organic carbon to phosphorus ratio,1.009156046967659,中度右偏,-0.43934218192258134,低峰态
Dissolved oxygen and nitrogen ratio,1.356352447252366,中度右偏,0.637245297118529,中峰态
phosphate,2.0047506750866955,严重右偏,2.9675543773599964,中峰态
TP,2.0195189621486764,严重右偏,3.057164343792409,高峰态
Algal density（×10^5cells/ml),1.9948754083701195,中度右偏,3.0885100639021674,高峰态
 Specific growth rate,0.9026263766649034,轻度右偏,-0.15289766832997476,低峰态
Total photosynthetic pigments,0.5643838618604966,轻度右偏,-0.8933453101233497,低峰态
Dry cell weight,0.19429358816184625,近似对称,-0.7882450395344822,低峰态
protein(%),1.3120024216689754,中度右偏,-0.009726609423316823,低峰态
polysaccharide(%),0.47312170630874084,近似对称,-0.961711786870906,低峰态
lipid(%),0.8066023784057341,轻度右偏,-0.8582123254254492,低峰态
N(%),0.5063833673802691,轻度右偏,-0.2930419884439539,低峰态
C(%),-0.5594749969028066,轻度左偏,-1.1786901086263142,低峰态
H(%),-0.6213916350214697,轻度左偏,-0.29856185824336023,低峰态
O(%),0.6965901065082978,轻度右偏,-0.7836495297980446,低峰态
P(%),0.6711406860526195,轻度右偏,-1.2269146010474454,低峰态
N conversion rate(%),0.19761341211709768,近似对称,-0.5246787787311775,低峰态
P conversion rate(%),0.4260345947148707,近似对称,-1.3521889213171259,低峰态
