,missing_count,missing_rate(%),zero_count,zero_rate(%),skewness
Turbidity ,0,0.000,0.000,0.000,1.987
Chroma,0,0.000,0.000,0.000,0.662
pH ,0,0.000,0.000,0.000,0.338
DO,0,0.000,0.000,0.000,1.344
electrical conductivity,0,0.000,0.000,0.000,-0.134
UV254,0,0.000,0.000,0.000,0.097
COD,0,0.000,0.000,0.000,1.221
TOC,0,0.000,0.000,0.000,0.838
BOD,0,0.000,0.000,0.000,1.417
nitrate nitrogen,0,0.000,0.000,0.000,1.175
ammonia nitrogen,0,0.000,2.000,5.560,1.665
TN,0,0.000,0.000,0.000,1.064
Nitrogen to phosphorus ratio,0,0.000,0.000,0.000,1.162
Organic carbon nitrogen ratio,0,0.000,0.000,0.000,5.159
Organic carbon to phosphorus ratio,0,0.000,0.000,0.000,2.484
Dissolved oxygen and nitrogen ratio,0,0.000,0.000,0.000,4.850
phosphate,8,22.220,0.000,0.000,3.415
TP,0,0.000,0.000,0.000,4.405
Algal density（×10^5cells/ml),0,0.000,0.000,0.000,2.050
 Specific growth rate,0,0.000,0.000,0.000,0.863
Total photosynthetic pigments,0,0.000,0.000,0.000,1.866
Dry cell weight,0,0.000,0.000,0.000,0.680
protein(%),0,0.000,0.000,0.000,1.312
polysaccharide(%),0,0.000,0.000,0.000,0.853
lipid(%),0,0.000,0.000,0.000,0.807
N(%),2,5.560,0.000,0.000,0.509
C(%),2,5.560,0.000,0.000,-1.588
H(%),0,0.000,0.000,0.000,-0.685
O(%),0,0.000,0.000,0.000,-0.055
P(%),0,0.000,0.000,0.000,1.997
N conversion rate(%),0,0.000,1.000,2.780,0.042
P conversion rate(%),0,0.000,0.000,0.000,0.394
