protein(%),H(%),O(%),pigment_per_cell,lipid(%)
4.821443,-0.381749,0.788163,-0.134978,0.341509
3.462445,0.326277,1.357097,3.206785,13.544689
5.183396,-0.370108,1.095640,2.807382,2.427193
4.078271,-0.777366,0.459670,1.054105,3.569049
5.183396,-0.472209,1.707037,1.108665,4.208457
5.016831,-1.459629,0.859832,1.622648,11.507992
4.952899,-0.587859,1.260640,11.092068,13.122459
5.048293,0.268261,1.411415,2.845416,14.888481
0.140542,-0.305412,-0.105600,0.660034,0.232393
0.494061,-0.755610,-0.185567,-0.805005,1.331742
0.199758,-0.453315,-0.284288,1.563413,0.221632
0.595946,-0.239190,-0.399497,1.491301,1.822245
-0.384365,-0.379077,0.447061,1.554821,0.766912
0.364462,-1.541310,-0.278468,1.362829,1.898000
-0.016563,-0.858093,-0.016471,-14.061612,0.165096
-0.232083,-2.098379,-0.338713,-0.036596,0.816155
-0.391666,-2.132349,-0.351322,0.033627,0.881452
-0.408420,-0.349115,0.956289,1.710140,1.533677
0.667400,1.543472,0.087242,0.701312,13.674000
0.422691,0.929849,0.144003,0.701312,9.347000
0.066684,0.633789,-0.068669,-2.168127,5.321000
0.510403,0.753511,-0.064359,-4.823507,10.111000
0.016563,0.839135,-0.174718,-2.768660,8.725000
-1.073108,-0.184545,1.519547,3.846998,12.859000
-0.689554,0.280221,0.280587,0.221877,1.215000
-0.270527,0.521828,-0.152804,0.687695,6.690000
-0.075202,0.708090,-0.500840,0.998586,3.988000
-0.349394,0.210372,-0.453707,2.642976,0.820000
-0.607738,-0.044975,0.353226,-0.058723,1.184000
-0.352711,0.487603,-0.090009,0.639217,6.173000
-1.073108,0.602363,-0.867484,1.490302,13.573000
-1.045192,0.102228,-1.948233,-0.765617,1.587000
-0.521501,0.044975,-0.179676,1.280343,4.241000
-0.869031,0.135053,0.800341,-0.009727,1.467000
-0.357133,0.693713,0.016471,1.366478,1.424000
-0.023607,0.874123,0.161318,0.629174,6.970000
