TN,protein(%),H(%),O(%),nitrate_ammonia_ratio,pigment_per_cell,lipid(%)
-0.474792,4.821443,-0.381749,0.788163,4.016279,-0.134978,0.341509
-0.647296,3.462445,0.326277,1.357097,-2.119596,3.206785,13.544689
-0.466139,5.183396,-0.370108,1.095640,2.145881,2.807382,2.427193
-0.641347,4.078271,-0.777366,0.459670,3.713300,1.054105,3.569049
-0.016223,5.183396,-0.472209,1.707037,-2.529604,1.108665,4.208457
-0.611064,5.016831,-1.459629,0.859832,-3.208540,1.622648,11.507992
-0.511564,4.952899,-0.587859,1.260640,2.771171,11.092068,13.122459
-0.306073,5.048293,0.268261,1.411415,-0.355784,2.845416,14.888481
0.016223,0.140542,-0.305412,-0.105600,0.048030,0.660034,0.232393
0.165474,0.494061,-0.755610,-0.185567,-3.191172,-0.805005,1.331742
0.319051,0.199758,-0.453315,-0.284288,0.166926,1.563413,0.221632
-0.357986,0.595946,-0.239190,-0.399497,1.129881,1.491301,1.822245
-0.647296,-0.384365,-0.379077,0.447061,3.035496,1.554821,0.766912
0.606738,0.364462,-1.541310,-0.278468,0.392381,1.362829,1.898000
0.511564,-0.016563,-0.858093,-0.016471,1.097735,-14.061612,0.165096
0.403411,-0.232083,-2.098379,-0.338713,0.082424,-0.036596,0.816155
0.109235,-0.391666,-2.132349,-0.351322,-2.253635,0.033627,0.881452
-0.559151,-0.408420,-0.349115,0.956289,2.326587,1.710140,1.533677
1.102079,0.667400,1.543472,0.087242,-12.507447,0.701312,13.674000
1.242077,0.422691,0.929849,0.144003,29.497606,0.701312,9.347000
0.766805,0.066684,0.633789,-0.068669,1.313863,-2.168127,5.321000
0.786272,0.510403,0.753511,-0.064359,0.195085,-4.823507,10.111000
0.440183,0.016563,0.839135,-0.174718,-5.197159,-2.768660,8.725000
-0.541847,-1.073108,-0.184545,1.519547,11.889206,3.846998,12.859000
0.126539,-0.689554,0.280221,0.280587,-0.101743,0.221877,1.215000
1.210232,-0.270527,0.521828,-0.152804,2.392367,0.687695,6.690000
0.024875,-0.075202,0.708090,-0.500840,0.073509,0.998586,3.988000
-0.154659,-0.349394,0.210372,-0.453707,-0.151773,2.642976,0.820000
-0.524542,-0.607738,-0.044975,0.353226,3.069229,-0.058723,1.184000
0.697587,-0.352711,0.487603,-0.090009,-21.602941,0.639217,6.173000
-0.230463,-1.073108,0.602363,-0.867484,2.370684,1.490302,13.573000
-0.027854,-1.045192,0.102228,-1.948233,-0.636426,-0.765617,1.587000
-0.087781,-0.521501,0.044975,-0.179676,-0.057808,1.280343,4.241000
-0.418803,-0.869031,0.135053,0.800341,-0.413264,-0.009727,1.467000
0.592099,-0.357133,0.693713,0.016471,-2.718538,1.366478,1.424000
1.242077,-0.023607,0.874123,0.161318,-6.102377,0.629174,6.970000
