Model,CV_R²,CV_R²_Std,CV_MAE,CV_MAE_Std,CV_RMSE,CV_RMSE_Std,Final_R²,Final_R²_Std,Final_MAE,Final_MAE_Std,Final_RMSE,Final_RMSE_Std
XGBoost,0.5055479189523032,0.28210161106127324,2.2355280010352074,0.9672513650700564,2.812023456119959,1.2777827267456294,0.42638194516484906,0.3062948686889749,3.009614025522365,0.9638815948554345,3.527507186473244,1.1563455663828388
Random Forest,0.24341725186952975,0.36116092751669365,3.131344642429875,1.3332555843168588,3.4963407375045277,1.4110069366715698,0.34984066536848324,0.28567932438301163,3.21753292440591,0.8890674490923298,3.8070865856484843,1.092630960128887
Gradient Boosting,-0.09792048793031685,0.5081175746370012,3.5375717314318194,1.7192929751937691,4.197509501321782,1.7636948071849907,-0.03791337702016575,0.4783495389096104,3.8298746772805963,1.1797630636203968,4.767418202939622,1.34228433540972
K-Nearest Neighbors,-0.571099158612712,1.5461675071443226,3.640466628953212,0.7766546630655102,4.124670795113986,0.7644187372585846,0.15591192451127464,0.4789048992306122,3.7147119108719435,1.4549210613664465,4.25187074453615,1.395342317501886
Decision Tree,-0.6255427936267182,0.5710310149057212,3.8697142398272986,1.5137742598112147,4.986222505173672,1.6255021746766074,-0.6831925775380774,1.0190390221322398,4.954554635343515,2.1540503570179865,5.971249913498406,2.4308879288817806
Lasso Regression,-0.9072983781394559,1.2169191098723768,4.432678457549124,1.1172313984248172,5.024178413884734,1.1236224237910604,-0.15376385820863278,0.2038363329572131,4.505967004610188,0.9880007960680494,5.122795506181647,0.8254083426398391
ElasticNet,-0.9607094945084933,1.3054064270049093,4.462815239899045,1.0879296624835888,5.0544370250219215,1.0893501488234647,-0.1700012626519162,0.20902210518820438,4.539252579807953,1.0302133047590656,5.159430451071927,0.8392456701391883
Support Vector Regression,-0.9972061320549288,2.2058947179843478,3.8827140868568533,0.8144786590815052,4.4773808898908705,0.875892808888412,-0.008724896775115565,0.4516695675072016,3.6738979399014737,0.7719046046835627,4.637191925241271,1.0318206997811095
Ridge Regression,-1.6571415342020217,2.168667427066927,4.819041824446566,1.0961488534334052,5.598922617187623,0.9456283881342723,-0.4730177759882201,0.64239225085394,5.043932020862079,1.6856599357304365,5.727658800415511,1.459361645400487
Linear Regression,-1.9193765576642754,2.4955459473967077,4.951957668273932,1.0702977997247907,5.779238404154809,0.9144254022395538,-0.5580644381953384,0.7578631941923695,5.142346168848064,1.8383218495281928,5.869656687017179,1.6099394237455165
